"days","Barack Obama","Bill Clinton","Donald Trump","Dwight D. Eisenhower","George H.W. Bush","George W. Bush","Gerald Ford","Harry S. Truman","Jimmy Carter","Joe Biden","John F. Kennedy","Lyndon B. Johnson","Richard Nixon","Ronald Reagan"
60,35.6487097748169,24.600020176811,-13.5273036596389,59.0711423785453,42.2544387792245,34.4617726613779,23.2940288346617,84,65.400258716485,15.7694830075869,66,71.9776949051932,57.8143331303609,36.0182685332776
61,36.8155445900445,24.600020176811,-13.5273036596389,59.0711423785453,42.2544387792245,30.4002175967614,23.2940288346617,84,65.400258716485,15.2326197438007,66,71.9776949051932,57.8143331303609,36.0182685332776
62,36.8155445900445,24.600020176811,-13.5273036596389,59.0711423785453,42.2544387792245,30.4002175967614,23.2940288346617,84,65.400258716485,15.2326197438007,66,71.9776949051932,57.8143331303609,36.0182685332776
63,36.6282578211369,24.600020176811,-13.4171868948594,59.0711423785453,42.2544387792245,30.4002175967614,23.2940288346617,84,65.400258716485,15.2326197438007,66,71.9776949051932,57.8143331303609,36.0182685332776
64,35.7783193772672,24.6000201768109,-13.4171868948594,59.0711423785453,42.2544387792245,28.3897882698977,23.2940288346617,84,65.400258716485,14.1909165517732,66,71.9776949051932,57.8143331303609,36.0182685332776
65,35.7783193772672,24.600020176811,-13.4171868948594,59.0711423785453,42.2544387792245,22.6671286376654,23.2940288346617,84,65.400258716485,14.1909165517732,66,71.9776949051932,57.8143331303609,36.0182685332776
66,35.1277269682991,24.600020176811,-14.7729892522636,59.0711423785453,42.2544387792245,22.6671286376654,23.0327732475911,84,65.400258716485,14.1909165517732,66,71.9776949051932,57.8143331303609,36.0182685332776
67,35.1277269682991,24.6000201768109,-14.4046372151551,59.0711423785453,42.2544387792245,23.0770954842267,23.0327732475911,84,62.9575335705874,14.1909165517732,66,71.9776949051932,57.8143331303609,36.0182685332776
68,33.7873643478914,24.600020176811,-14.4046372151551,59.0711423785453,42.2544387792245,25.4588244817536,23.0327732475911,84,62.9575335705874,14.1909165517732,66,71.9776949051932,57.8143331303609,36.0182685332776
69,31.3780434459075,24.600020176811,-15.8517163818646,59.0711423785453,42.2544387792245,25.4588244817536,23.0327732475911,84,62.9575335705874,14.1909165517732,66,71.9776949051932,57.8143331303609,36.0182685332776
70,31.3780434459075,22.2169174796364,-15.8517163818646,59.0711423785453,42.2544387792245,25.4588244817536,23.0327732475911,84,62.9575335705874,14.1909165517732,66,71.9776949051932,57.8143331303609,36.0182685332776
71,30.8202542418195,22.2169174796364,-15.8517163818646,59.0711423785453,42.2544387792245,25.4588244817536,23.0327732475911,84,62.9575335705874,14.1909165517732,66,71.9776949051932,52.6240917766088,36.0182685332776
72,31.6183930104909,22.2169174796364,-16.5359465444382,64.9627554966797,42.2544387792245,25.4588244817536,23.0327732475911,84,62.9575335705874,14.1909165517732,66,71.9776949051931,52.6240917766088,36.0182685332776
73,30.97088538692,22.2169174796364,-16.9385788698078,64.9627554966797,42.2544387792245,25.4588244817536,23.7278130490575,84,62.9575335705874,14.1909165517732,66,71.9776949051932,52.6240917766088,36.0182685332776
74,30.9708853869201,22.2169174796364,-16.9385788698078,64.9627554966797,42.2544387792245,25.4588244817536,23.7278130490575,84,56.3032017039214,14.1909165517732,66,71.9776949051932,52.6240917766087,36.0182685332776
75,32.9036809364752,22.2169174796364,-15.971429809002,64.9627554966797,42.2544387792245,22.9718317438908,23.7278130490575,84,56.3032017039214,14.1909165517732,66,68.0534679099329,52.6240917766088,36.0182685332776
76,33.1981254262265,22.2169174796364,-15.971429809002,64.9627554966797,42.2544387792245,22.9718317438908,23.7278130490575,84,56.3032017039213,14.1909165517732,66,68.0534679099329,52.6240917766088,48.4392167323485
77,33.1981254262265,22.2169174796364,-15.971429809002,64.9627554966797,42.2544387792245,22.9718317438908,23.7278130490575,84,56.3032017039213,14.1909165517732,66,68.0534679099329,52.6240917766088,48.4392167323485
78,32.3213750112412,22.2169174796364,-15.5082111177417,64.9627554966797,42.2544387792245,25.6734041700168,23.7278130490575,84,56.3032017039214,14.1909165517732,66,68.0534679099329,52.6240917766088,48.4392167323485
79,32.5835722510934,22.2169174796364,-14.0367863175896,64.9627554966797,42.2544387792245,25.6734041700168,23.7278130490575,84,56.3032017039214,14.1909165517732,66,68.0534679099329,52.6240917766088,48.4392167323485
80,32.5835722510934,22.2169174796364,-14.0367863175896,64.9627554966797,42.2544387792245,22.1874779862274,23.7278130490575,84,56.3032017039213,14.1909165517732,66,68.0534679099329,52.6240917766088,48.4392167323485
