"days","Joe Biden","Donald Trump","Barack Obama","George W. Bush","Bill Clinton","George H.W. Bush","Ronald Reagan","Jimmy Carter","Gerald Ford","Richard Nixon","Lyndon B. Johnson","John F. Kennedy","Dwight D. Eisenhower","Harry S. Truman"
77,14.871640799587,-10.1502938075998,32.5994252864846,24.0552880419293,22.7094214612979,42.125342279362,41.8986263152267,59.4352104903713,23.6056969564243,53.7868692713534,69.710416724091,66.6584926729703,63.2905421083111,84.0000012755533
78,14.9603871231408,-10.1640293449401,32.5148170569702,23.9743451894871,22.6075243480618,42.1451025478946,42.6515107938347,58.8737461181653,23.7091553361791,53.4250849098241,69.1864113155294,66.996710846001,63.6069027997972,84.0000012447481
79,15.0445863532373,-10.1522773853248,32.4497926889554,23.9531785611267,22.5049254884625,42.1637619174841,43.384298023219,58.2921244544786,23.8069136802272,53.0651582837521,68.7371011891814,67.3810945436156,63.9004901377681,84.000001138127
80,15.1232639004384,-10.1154297719623,32.4060965106813,23.991587127625,22.3996705226186,42.1811646042866,44.0829234119502,57.6908243068554,23.8975163843865,52.7082947060059,68.3841257841876,67.7999642704987,64.1660420921159,84.0000009410425
81,15.1954451753058,-10.0565906291991,32.3848855968333,24.0893698597589,22.2898050906482,42.1971548244582,44.7355401452905,57.0703244828403,23.9783074155272,52.3556994894542,68.1491245396884,68.2416405313348,64.3982966327329,84.0000006388474
82,15.2602643827869,-9.97954215166597,32.384968007873,24.2463257283055,22.1733748326698,42.2115767941549,45.3391725152684,56.4311037899774,24.0418290247298,52.0085779469656,68.039513141353,68.6944438308086,64.5919917295112,84.0000002171166
83,15.3172909053716,-9.88806653399381,32.4045645507064,24.4607429193771,22.0486665552416,42.2242747295328,45.8930625906038,55.7736410358112,24.0794230341276,51.6681353914089,68.0058122609658,69.1466946736045,64.7418653523432,83.9999996623159
84,15.3662029199353,-9.78594597081344,32.4418960322395,24.7248664804278,21.9149317306808,42.2350928467478,46.396452440017,55.098415027886,24.0824312658538,51.3355771356526,67.98431881684,69.5875389089942,64.8441341176687,83.9999989611334
85,15.4066786033535,-9.6769626567558,32.4951832593781,25.0294306742472,21.7716629977447,42.2437312093338,46.8485841322278,54.4069764384447,24.0421955420416,51.0121615929622,67.9201089706917,70.0094237645964,64.9009292281181,83.999998100257
86,15.4383961325018,-9.56489878645169,32.562647039028,25.3651697636247,21.6183529951903,42.2493132703353,47.2486997359563,53.7051633985243,23.9500576848242,50.699359578191,67.7933758578487,70.4056218126171,64.9158605328697,83.999997066375
87,15.4610336842555,-9.45353655453206,32.6425081780953,25.7228180113499,21.4544943617749,42.2508183301746,47.5960413199225,52.9998859038603,23.7976271220176,50.398695006589,67.593091857042,70.769405625262,64.8925378811015,83.9999958461756
88,15.4742694354902,-9.34665815562769,32.7329874834857,26.0931096802124,21.2795797362555,42.2472256892739,47.8898509528465,52.2980539501883,23.577583704168,50.1116917934062,67.3082293470026,71.094047774737,64.8345711219916,83.9999944263467
89,15.4777815630814,-9.24733842566282,32.8323057621053,26.4667790330015,21.0931017573894,42.2375146480555,48.1293707034482,51.6065775332438,23.2828748875046,49.8398738538926,66.9382957857042,71.372820833248,64.7455701047182,83.9999927935765
90,15.4712482439045,-9.15582276573502,32.9389213455533,26.834560332507,20.8945530639337,42.2206645069416,48.3149143249917,50.9323666487623,22.9064481282563,49.5847651032984,66.5249389480921,71.5989973730006,64.6291446784595,83.9999909345532
91,15.4552658650583,-9.07164921823513,33.0522426642031,27.1871878415181,20.6834262946454,42.1956545663544,48.4510823089174,50.2823312924794,22.4412508826523,49.3478894568736,66.1203416883546,71.769746919261,64.4889046923934,83.9999888512613
92,15.4341036545345,-8.99435582555409,33.1719156731211,27.5165013622597,20.4592140882819,42.1614641267163,48.5435468312094,49.6633814601306,21.8802306069215,49.1307708298681,65.7766868606799,71.897826809536,64.3284599956982,83.9999866068714
93,15.412949050548,-8.92348063008274,33.2975863273742,27.8187628546963,20.2212735376865,42.1170724884494,48.5979800678522,49.0824271474515,21.2163347572931,48.9349331375322,65.5327323474664,71.9998913343925,64.1515518759159,83.9999842798507
94,15.3969894913139,-8.85856167421197,33.428900582029,28.0913398182277,19.9684195520488,42.061458951976,48.6200541948301,48.5463783501776,20.4511562243474,48.7619002951158,65.3735361439525,72.0925947843976,63.9624473740439,83.999981948666
95,15.3914124150471,-8.79913700033268,33.5655043921521,28.3315997522537,19.6993314946444,41.9935169938864,48.6154413881273,48.0607369152068,19.6208696360708,48.6124288220587,65.2707312735871,72.1925914501183,63.7655449694435,83.9999796917845
96,15.4014052599626,-8.74474465083574,33.7070437128103,28.5369101561742,19.412688728749,41.9117967954424,48.5898138237281,47.625372094087,18.7702950548009,48.4842056545596,65.2009993050757,72.3165356221214,63.5652431414759,83.9999775876733
97,15.4321554642753,-8.69492266811206,33.8531644990702,28.7046385293888,19.1071706176385,41.8147627140741,48.548843677617,47.2387449895282,17.9442525428752,48.3741503330072,65.1612159881524,72.4810815909742,63.3659403695025,83.9999757147994
98,15.4888504662003,-8.6492090945525,34.0035127059985,28.8321523712973,18.7814565245885,41.7008791072112,48.4982031257782,46.8993167042408,17.1875621626315,48.27918239779,65.1533056178079,72.6971690895272,63.1720351328846,83.9999741516299
99,15.5766777039524,-8.60778722023139,34.1577342886618,28.9168191812995,18.4342258128749,41.5686103322838,48.443564344196,46.6055483409348,16.5450439764074,48.1962213892964,65.1791924890332,72.9528796197659,62.9879259109834,83.9999729766319
100,15.7008246157467,-8.57342132595687,34.3150190178336,28.9560064587952,18.0641578457733,41.4164207467217,48.3895890666934,46.3559010023205,16.0508022979674,48.122186847915,65.2483327595313,73.2305801259593,62.8180111831603,83.9999723648016
101,15.8638424030371,-8.54952094022049,34.4727319271137,28.9470817031841,17.6699319865596,41.2427747079548,48.3368972584483,46.1488357911081,15.6960784467837,48.0539983140343,65.4003100378537,73.5126375523767,62.6666894287765,83.9999728772528
102,16.0577373202336,-8.53949559151379,34.6277818658089,28.8889503110826,17.2504959295695,41.0461365734131,48.2850984424775,45.9828138100077,15.4613979937554,47.9885753280427,65.6822397952644,73.781418843287,62.537428132623,83.9999751716286
103,16.2718793849851,-8.54675480832837,34.7770776832257,28.7866692679731,16.8058706933787,40.8249707005264,48.2338021417973,45.8562961617295,15.3272865097816,47.922837430329,66.1412375030269,74.0192909429594,62.4299708012091,83.999979905572
104,16.4956386149405,-8.57470811915577,34.9175282286708,28.6468334565544,16.3363456276231,40.5796070324209,48.1826178794245,45.7672632385488,15.2742695657615,47.8549041738031,66.7989131930129,74.2086207956631,62.3431299464739,83.999987736726
105,16.7183850277487,-8.62676505248756,35.0460423514509,28.4760377595256,15.8422100819384,40.317837855007,48.1311551783756,45.7117725910009,15.282872732594,47.7876951614612,67.5748551395251,74.3348258979442,62.2757180803565,83.9999993227336
106,16.9294886410586,-8.70633513681529,35.1595289008726,28.2808770595855,15.3237534059604,40.0493210398912,48.0790235616673,45.685401059186,15.3350095642556,47.7253300088211,68.3631461774739,74.3955259554578,62.2265477147958,84.0000153212378
107,17.1183194725193,-8.81682790063055,35.2548967262425,28.0679462394332,14.781264949325,39.7837144586802,48.0258325523162,45.6837254832045,15.4181455470315,47.6719283314005,69.0727061391612,74.3913912261361,62.194431361731,84.0000363898818
108,17.2742475397796,-8.96049386883713,35.3290546768673,27.8438401817675,14.2150340616678,39.5306759829806,47.9711916733388,45.7023227031568,15.5211341502843,47.6316097447172,69.6718028464544,74.3230919679112,62.178181533101,84.0000629896831
109,17.3866428604884,-9.13494755198783,35.3796975472624,27.6151537692874,13.6253500926247,39.2998634843991,47.9150514581976,45.7367695591432,15.6328288433766,47.6084938642891,70.1435411186121,74.1912984387154,62.1766107408449,84.0000947951587
